so_ho_khau,id_chu_ho,dia_chi,thoi_gian_xac_thuc,id_nguoi_xac_thuc,trang_thai,ghi_chu,ten_chu_ho
HK0012,NK0060,Số nhà 12 Đường Lý Tự Trọng Phường Bình Thạnh Thành phố Hồ Chí Minh,2022-11-23,4,Đã xác thực,quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in,Hoàng Bảo Châu
HK0013,NK0212,Số nhà 13 Đường Phan Văn Trị Phường Tân Phú Thành phố Hồ Chí Minh,2022-11-24,7,Đã xác thực,sapien arcu sed augue aliquam erat volutpat in congue,Ngô Thiện Ngôn
HK0014,NK0049,Số nhà 14 Đường Trần Quốc Toản Phường Quận 3 Thành phố Hồ Chí Minh,2022-10-08,29,Chưa xác thực,sit amet consectetuer adipiscing elit proin interdum,Lê Vân Tiên
HK0015,NK0369,Số nhà 15 Đường Đồng Xoài Phường Phú Nhuận Thành phố Hồ Chí Minh,2022-06-18,45,Chưa xác thực,,Phan Vân Khánh
HK0016,NK0210,Số nhà 16 Đường Trần Hưng Đạo Phường Tân Phú Thành phố Hồ Chí Minh,2022-02-22,35,Đã xác thực,maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras,Ngô Thịnh Cường
HK0017,NK0265,Số nhà 17 Đường Nguyễn Văn Linh Phường Tân Bình Thành phố Hồ Chí Minh,2022-11-11,47,Chưa xác thực,,Nguyễn Quỳnh Lam
HK0018,NK0012,Số nhà 18 Đường Trần Quốc Tuấn Phường Bình Thạnh Thành phố Hồ Chí Minh,2023-01-19,42,Đã xác thực,,Phạm Tường Minh
HK0019,NK0354,Số nhà 19 Đường Phạm Văn Đồng Phường Tân An Thành phố Hồ Chí Minh,2022-07-31,34,Chưa xác thực,,Võ Quang Hải
HK0020,NK0379,Số nhà 20 Đường Lê Lợi Phường Quận 3 Thành phố Hồ Chí Minh,2022-05-02,19,Chưa xác thực,,Đỗ Quỳnh Anh
HK0021,NK0195,Số nhà 21 Đường Đồng Khởi Phường Tân Phú Thành phố Hồ Chí Minh,2022-05-21,33,Đã xác thực,,Phan Gia Phước
HK0022,NK0004,Số nhà 22 Đường Nguyễn Văn Cừ Phường Bình Thạnh Thành phố Hồ Chí Minh,2022-02-17,4,Đã xác thực,elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam,Nguyễn Bạch Mai
HK0023,NK0399,Số nhà 23 Đường Võ Văn Tần Phường Tân Bình Thành phố Hồ Chí Minh,2022-12-22,25,Chưa xác thực,suspendisse potenti nullam porttitor lacus at,Phạm Tâm Thiện
HK0024,NK0002,Số nhà 24 Đường Trần Hưng Đạo Phường Phú Nhuận Thành phố Hồ Chí Minh,2022-02-24,6,Đã xác thực,,Hoàng Bảo Châu
HK0025,NK0055,Số nhà 25 Đường Trần Quốc Toản Phường Quận 4 Thành phố Hồ Chí Minh,2022-05-10,21,Chưa xác thực,luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus,Lý Quốc Hiển
HK0026,NK0438,Số nhà 26 Đường Đồng Văn Cừ Phường Tân Phú Thành phố Hồ Chí Minh,2022-12-18,19,Chưa xác thực,etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus,Phan Như Quỳnh
HK0027,NK0464,Số nhà 27 Đường Lê Đại Hành Phường Tân Bình Thành phố Hồ Chí Minh,2022-03-27,35,Chưa xác thực,,Hoàng Hoàng Quân
HK0028,NK0475,Số nhà 28 Đường Trần Đại Nghĩa Phường Bình Thạnh Thành phố Hồ Chí Minh,2022-02-15,14,Đã xác thực,,Ngô Xuân Ninh
HK0029,NK0406,Số nhà 29 Đường Võ Văn Kiệt Phường Quận 3 Thành phố Hồ Chí Minh,2022-08-31,10,Chưa xác thực,purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id,Trần Nhật Tiến
HK0030,NK0369,Số nhà 30 Đường Trần Bình Trọng Phường Phú Nhuận Thành phố Hồ Chí Minh,2022-06-28,17,Đã xác thực,vestibulum proin eu mi nulla ac enim in tempor,Phan Vân Khánh
HK0031,NK0266,Số nhà 31 Đường Trần Đại Nghĩa Phường Quận 4 Thành phố Hồ Chí Minh,2022-08-19,17,Chưa xác thực,ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at,Nguyễn Anh Dũng
HK0032,NK0277,Số nhà 32 Đường Lê Quang Đạo Phường Tân Phú Thành phố Hồ Chí Minh,2022-03-29,30,Chưa xác thực,,Ngô Nhật Tấn
HK0033,NK0303,Số nhà 33 Đường Trần Quốc Tuấn Phường Tân Bình Thành phố Hồ Chí Minh,2022-08-14,45,Đã xác thực,,Đỗ Ái Khanh
HK0034,NK0001,Số nhà 34 Đường Phạm Hồng Thái Phường Bình Thạnh Thành phố Hồ Chí Minh,2022-06-13,14,Chưa xác thực,,Phan Ngọc Liên
HK0035,NK0136,Số nhà 35 Đường Trần Nhân Tông Phường Quận 3 Thành phố Hồ Chí Minh,2022-12-03,42,Chưa xác thực,,Hoàng Ðình Ðôn
HK0036,NK0429,Số nhà 36 Đường Trần Bình Trọng Phường Phú Nhuận Thành phố Hồ Chí Minh,2022-11-08,37,Đã xác thực,,Hoàng Anh Phương
HK0037,NK0376,Số nhà 37 Đường Lê Văn Lương Phường Quận 4 Thành phố Hồ Chí Minh,2022-12-16,26,Đã xác thực,,Hồ Tiểu My
HK0038,NK0399,Số nhà 38 Đường Trần Quốc Toản Phường Tân Phú Thành phố Hồ Chí Minh,2022-09-10,44,Đã xác thực,,Phạm Tâm Thiện
HK0039,NK0286,Số nhà 39 Đường Đặng Văn Ngữ Phường Tân Bình Thành phố Hồ Chí Minh,2023-01-14,37,Chưa xác thực,sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam,Hoàng Thụy Long
HK0040,NK0023,Số nhà 40 Đường Lê Văn Lương Phường Bình Thạnh Thành phố Hồ Chí Minh,2023-02-02,46,Đã xác thực,tortor risus dapibus augue vel accumsan tellus,Phan Vân Khánh
HK0041,NK0172,Số nhà 41 Đường Nguyễn Văn Linh Phường Quận 3 Thành phố Hồ Chí Minh,2022-05-31,5,Chưa xác thực,vitae nisl aenean lectus pellentesque,Nguyễn Bình An
HK0042,NK0186,Số nhà 42 Đường Nguyễn Văn Trỗi Phường Phú Nhuận Thành phố Hồ Chí Minh,2022-06-23,27,Chưa xác thực,,Lê Yến Trinh
HK0043,NK0410,Số nhà 43 Đường Trần Quốc Tuấn Phường Quận 4 Thành phố Hồ Chí Minh,2022-03-13,26,Chưa xác thực,pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem,Nguyễn Quang Trường
HK0044,NK0264,Số nhà 44 Đường Trần Quốc Toản Phường Tân Phú Thành phố Hồ Chí Minh,2022-03-16,44,Chưa xác thực,et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non,Lê Diệu Anh
HK0045,NK0440,Số nhà 45 Đường Nguyễn Văn Cừ Phường Tân Bình Thành phố Hồ Chí Minh,2022-12-25,4,Chưa xác thực,sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget,Phan Thanh Tuyền
HK0046,NK0109,Số nhà 46 Đường Trần Đại Nghĩa Phường Bình Thạnh Thành phố Hồ Chí Minh,2022-10-18,13,Đã xác thực,,Lê Tuyết Vân
HK0047,NK0339,Số nhà 47 Đường Nguyễn Văn Linh Phường Quận 7 Thành phố Hồ Chí Minh,2022-03-31,20,Đã xác thực,hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat,Ngô Anh Sơn
HK0048,NK0171,Số nhà 48 Đường Trần Bình Trọng Phường Tân Phú Thành phố Hồ Chí Minh,2023-01-31,7,Chưa xác thực,,Lý Thanh Minh
HK0049,NK0436,Số nhà 49 Đường Lê Văn Lương Phường Bình Thạnh Thành phố Hồ Chí Minh,2022-09-07,22,Chưa xác thực,viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo,Nguyễn Vi Quyên
HK0050,NK0430,Số nhà 50 Đường Nguyễn Văn Trỗi Phường Phú Nhuận Thành phố Hồ Chí Minh,2022-11-06,8,Chưa xác thực,morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat,Ngô Hải Bình
HK0051,NK0070,Số nhà 51 Đường Đặng Văn Ngữ Phường Quận 7 Thành phố Hồ Chí Minh,2022-11-01,19,Chưa xác thực,,Lý Hồng Giang
HK0052,NK0236,Số nhà 52 Đường Nguyễn Văn Cừ Phường Tân Phú Thành phố Hồ Chí Minh,2022-04-26,20,Chưa xác thực,id nisl venenatis lacinia aenean sit amet,Lê Tuyết Vân
HK0053,NK0344,Số nhà 53 Đường Trần Quốc Toản Phường Quận 4 Thành phố Hồ Chí Minh,2022-12-01,32,Chưa xác thực,bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu,Hoàng Tuấn Long
HK0054,NK0370,Số nhà 54 Đường Trần Đại Nghĩa Phường Tân Bình Thành phố Hồ Chí Minh,2022-06-24,24,Chưa xác thực,in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non,Đặng Thùy Giang
HK0055,NK0454,Số nhà 55 Đường Lê Văn Lương Phường Phú Nhuận Thành phố Hồ Chí Minh,2022-08-17,17,Đã xác thực,vitae quam suspendisse potenti nullam,Lý Đan Thanh
HK0056,NK0406,Số nhà 56 Đường Trần Bình Trọng Phường Quận 3 Thành phố Hồ Chí Minh,2022-05-25,44,Đã xác thực,,Trần Nhật Tiến
HK0057,NK0221,Số nhà 57 Đường Nguyễn Văn Linh Phường Bình Thạnh Thành phố Hồ Chí Minh,2023-01-08,38,Đã xác thực,eget nunc donec quis orci eget orci vehicula condimentum curabitur in,Lê Thùy Giang
HK0058,NK0456,Số nhà 58 Đường Trần Quốc Tuấn Phường Tân Phú Thành phố Hồ Chí Minh,2022-05-24,42,Chưa xác thực,,Ngô Hữu Cường
HK0059,NK0283,Số nhà 59 Đường Nguyễn Thị Minh Khai Phường Quận 5 Thành phố Hồ Chí Minh,2022-06-20,12,Chưa xác thực,tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum,Lê Ðình Hợp
HK0060,NK0387,Số nhà 60 Đường Trần Hưng Đạo Phường Tân Bình Thành phố Hồ Chí Minh,2022-09-13,22,Chưa xác thực,,Ngô Ðức Nhân
HK0061,NK0074,Số nhà 61 Đường Nguyễn Văn Trỗi Phường Quận 6 Thành phố Hồ Chí Minh,2022-08-20,30,Chưa xác thực,,Nguyễn Minh Nhật
HK0062,NK0476,Số nhà 62 Đường Lê Văn Lương Phường Phú Nhuận Thành phố Hồ Chí Minh,2022-10-12,22,Chưa xác thực,,Nguyễn Thanh Lam
HK0063,NK0239,Số nhà 63 Đường Trần Quốc Toản Phường Tân Phú Thành phố Hồ Chí Minh,2023-01-25,23,Đã xác thực,orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae,Ngô Ðức Siêu
HK0064,NK0464,Số nhà 64 Đường Nguyễn Thị Minh Khai Phường Quận 7 Thành phố Hồ Chí Minh,2022-11-22,36,Chưa xác thực,purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum,Hoàng Hoàng Quân
HK0065,NK0078,Số nhà 65 Đường Trần Đại Nghĩa Phường Bình Thạnh Thành phố Hồ Chí Minh,2023-02-11,22,Chưa xác thực,,Nguyễn Nhã Thanh
HK0066,NK0444,Số nhà 66 Đường Nguyễn Văn Cừ Phường Quận 4 Thành phố Hồ Chí Minh,2022-09-15,31,Chưa xác thực,,Phan Anh Quân
HK0067,NK0133,Số nhà 67 Đường Trần Bình Trọng Phường Tân Bình Thành phố Hồ Chí Minh,2022-10-26,24,Chưa xác thực,,Lý Minh Cảnh
HK0068,NK0344,Số nhà 68 Đường Lê Văn Lương Phường Quận 3 Thành phố Hồ Chí Minh,2022-12-17,32,Đã xác thực,,Hoàng Tuấn Long
HK0069,NK0421,Số nhà 69 Đường Nguyễn Văn Trỗi Phường Phú Nhuận Thành phố Hồ Chí Minh,2022-06-22,4,Chưa xác thực,,Phan Phước Lộc
HK0070,NK0453,Số nhà 70 Đường Trần Quốc Toản Phường Bình Thạnh Thành phố Hồ Chí Minh,2022-06-12,30,Đã xác thực,,Lê Tuyết Vân
HK0071,NK0061,Số nhà 71 Đường Nguyễn Thị Minh Khai Phường Quận 8 Thành phố Hồ Chí Minh,2023-01-17,44,Đã xác thực,,Hoàng Tuấn Long
HK0072,NK0270,Số nhà 72 Đường Trần Đại Nghĩa Phường Tân Phú Thành phố Hồ Chí Minh,2022-11-14,15,Chưa xác thực,,Ngô Phi Cường
HK0073,NK0022,Số nhà 73 Đường Lê Văn Lương Phường Bình Thạnh Thành phố Hồ Chí Minh,2022-12-30,7,Đã xác thực,,Phan Thảo Hương
HK0074,NK0394,Số nhà 74 Đường Trần Bình Trọng Phường Quận 4 Thành phố Hồ Chí Minh,2022-10-15,27,Chưa xác thực,quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae,Lê Giang Sơn
HK0075,NK0299,Số nhà 75 Đường Nguyễn Văn Cừ Phường Tân Bình Thành phố Hồ Chí Minh,2022-03-30,42,Đã xác thực,eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in,Đỗ Nhã Mai
HK0076,NK0084,Số nhà 76 Đường Trần Quốc Toản Phường Quận 5 Thành phố Hồ Chí Minh,2023-01-13,41,Chưa xác thực,etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam,Lê Duy Ngôn
HK0077,NK0002,Số nhà 77 Đường Nguyễn Thị Minh Khai Phường Phú Nhuận Thành phố Hồ Chí Minh,2022-05-20,35,Đã xác thực,,Hoàng Bảo Châu
HK0078,NK0037,Số nhà 78 Đường Trần Đại Nghĩa Phường Quận 3 Thành phố Hồ Chí Minh,2022-11-12,47,Chưa xác thực,,Lê Yến Trinh
HK0079,NK0318,Số nhà 79 Đường Lê Văn Lương Phường Tân Phú Thành phố Hồ Chí Minh,2022-06-13,11,Đã xác thực,,Hồ Thiên Thư
HK0080,NK0288,Số nhà 80 Đường Trần Bình Trọng Phường Bình Thạnh Thành phố Hồ Chí Minh,2022-06-08,1,Đã xác thực,in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat,Phan Vân Khánh
HK0081,NK0019,Số nhà 81 Đường Nguyễn Văn Cừ Phường Quận 7 Thành phố Hồ Chí Minh,2022-06-16,9,Chưa xác thực,urna ut tellus nulla ut,Ngô Tuyết Nhi
HK0082,NK0259,Số nhà 82 Đường Trần Quốc Toản Phường Phú Nhuận Thành phố Hồ Chí Minh,2022-06-16,21,Chưa xác thực,nisi volutpat eleifend donec ut dolor morbi vel,Phan Ngọc Huyền
HK0083,NK0338,Số nhà 83 Đường Nguyễn Thị Minh Khai Phường Quận 6 Thành phố Hồ Chí Minh,2022-05-24,21,Chưa xác thực,,Đỗ Tịnh Nhi
HK0084,NK0272,Số nhà 84 Đường Trần Đại Nghĩa Phường Tân Bình Thành phố Hồ Chí Minh,2023-01-02,24,Chưa xác thực,nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac,Lê Trí Dũng
HK0085,NK0242,Số nhà 85 Đường Lê Văn Lương Phường Quận 4 Thành phố Hồ Chí Minh,2022-08-11,47,Đã xác thực,,Phạm Ðức Bảo
HK0086,NK0344,Số nhà 86 Đường Trần Bình Trọng Phường Tân Phú Thành phố Hồ Chí Minh,2022-07-14,23,Chưa xác thực,,Hoàng Tuấn Long
HK0087,NK0122,Số nhà 87 Đường Nguyễn Văn Cừ Phường Bình Thạnh Thành phố Hồ Chí Minh,2022-09-15,31,Đã xác thực,,Hoàng Trung Thành
HK0088,NK0119,Số nhà 88 Đường Trần Quốc Toản Phường Quận 8 Thành phố Hồ Chí Minh,2022-03-07,5,Đã xác thực,ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc,Lê Tùng Anh
HK0089,NK0161,Số nhà 89 Đường Nguyễn Thị Minh Khai Phường Tân Bình Thành phố Hồ Chí Minh,2022-09-21,45,Chưa xác thực,,Ngô Mai Thảo
HK0090,NK0212,Số nhà 90 Đường Trần Đại Nghĩa Phường Quận 5 Thành phố Hồ Chí Minh,2023-01-06,44,Chưa xác thực,,Ngô Thiện Ngôn
HK0091,NK0318,Số nhà 91 Đường Lê Văn Lương Phường Phú Nhuận Thành phố Hồ Chí Minh,2022-05-12,34,Chưa xác thực,,Hồ Thiên Thư
HK0092,NK0316,Số nhà 92 Đường Trần Bình Trọng Phường Quận 7 Thành phố Hồ Chí Minh,2022-04-19,47,Chưa xác thực,,Phan Bảo Hân
HK0093,NK0021,Số nhà 93 Đường Nguyễn Văn Cừ Phường Tân Phú Thành phố Hồ Chí Minh,2023-01-27,40,Đã xác thực,,Ngô Nguyên Phong
HK0094,NK0183,Số nhà 94 Đường Trần Quốc Toản Phường Bình Thạnh Thành phố Hồ Chí Minh,2022-10-19,24,Đã xác thực,feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst,Lý Huy Quang
HK0095,NK0245,Số nhà 95 Đường Nguyễn Thị Minh Khai Phường Quận 6 Thành phố Hồ Chí Minh,2022-06-14,36,Chưa xác thực,mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel,Đặng Chi Lan
HK0096,NK0456,Số nhà 96 Đường Trần Đại Nghĩa Phường Tân Bình Thành phố Hồ Chí Minh,2022-09-15,28,Đã xác thực,,Ngô Hữu Cường
HK0097,NK0491,Số nhà 97 Đường Lê Văn Lương Phường Quận 4 Thành phố Hồ Chí Minh,2022-09-17,24,Đã xác thực,sapien quis libero nullam sit amet turpis elementum,Nguyễn Xuân Hoa
HK0098,NK0218,Số nhà 98 Đường Trần Bình Trọng Phường Phú Nhuận Thành phố Hồ Chí Minh,2023-01-07,43,Đã xác thực,,Phan Hải Châu
HK0099,NK0104,Số nhà 99 Đường Nguyễn Văn Cừ Phường Quận 8 Thành phố Hồ Chí Minh,2022-06-06,14,Đã xác thực,,Đỗ Tâm Nhi
HK0100,NK0446,Số nhà 100 Đường Trần Quốc Toản Phường Tân Phú Thành phố Hồ Chí Minh,2023-01-24,28,Đã xác thực,,Đặng Hạ Anh
HK0101,NK0310,Số nhà 1 Đường Lê Hồng Phong Phường Bến Thành Thành phố Hồ Chí Minh,2022-11-14,22,Chưa xác thực,,Đỗ Sao Mai
HK0102,NK0398,Số nhà 2 Đường Trần Nhật Duật Phường 1 Thành phố Đà Nẵng,2022-07-18,45,Đã xác thực,dapibus at diam nam tristique tortor eu pede,Ngô Ðình Nam
HK0103,NK0179,Số nhà 3 Đường Lý Thường Kiệt Phường Phú Thọ Thành phố Hải Phòng,2023-02-06,15,Đã xác thực,,Lê Trí Dũng
HK0104,NK0496,Số nhà 4 Đường Nguyễn Văn Cừ Phường Quận 3 Thành phố Hồ Chí Minh,2022-03-24,21,Chưa xác thực,,Ngô Hải Bình
HK0105,NK0456,Số nhà 5 Đường Trần Hưng Đạo Phường Quận 5 Thành phố Hồ Chí Minh,2022-10-18,33,Đã xác thực,,Ngô Hữu Cường
HK0106,NK0125,Số nhà 6 Đường Trần Hưng Đạo Phường Quận 5 Thành phố Hồ Chí Minh,2023-01-17,19,Chưa xác thực,,Lý Hạ Vũ
HK0107,NK0261,Số nhà 7 Đường Nguyễn Đình Chiểu Phường Quận 2 Thành phố Hồ Chí Minh,2022-03-14,37,Đã xác thực,,Đỗ Mỹ Anh
HK0108,NK0481,Số nhà 8 Đường Đề Thám Phường Đa Kao Thành phố Hồ Chí Minh,2022-03-11,6,Chưa xác thực,,Võ Huy Chiểu
HK0109,NK0177,Số nhà 9 Đường Trần Phú Phường Phú Nhuận Thành phố Hồ Chí Minh,2022-12-12,23,Đã xác thực,eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in,Phan Diệp Chi
HK0110,NK0193,Số nhà 10 Đường Lê Lợi Phường Bến Nghé Thành phố Hồ Chí Minh,2022-12-17,43,Chưa xác thực,pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean,Phan Thu Oanh
HK0111,NK0246,Số nhà 11 Đường Hoàng Văn Thụ Phường Tân Định Thành phố Hồ Chí Minh,2022-03-02,32,Đã xác thực,,Ngô Huy Phong
HK0112,NK0461,Số nhà 12 Đường Trần Hưng Đạo Phường Tân Bình Thành phố Hồ Chí Minh,2022-05-07,4,Đã xác thực,,Lý Tuấn Kiệt
HK0113,NK0306,Số nhà 13 Đường Nguyễn Văn Cừ Phường Tân Phú Thành phố Đà Nẵng,2022-10-03,13,Đã xác thực,ut dolor morbi vel lectus,Phan Việt Anh
HK0114,NK0336,Số nhà 14 Đường Lê Văn Sỹ Phường Tân Định Thành phố Hồ Chí Minh,2023-02-10,35,Đã xác thực,,Trần Quang Tài
HK0115,NK0371,Số nhà 15 Đường Nguyễn Đình Chiểu Phường Bình Thạnh Thành phố Hồ Chí Minh,2022-06-05,46,Chưa xác thực,,Đặng Bích Thu
HK0116,NK0220,Số nhà 16 Đường Trần Nhật Duật Phường Quận 4 Thành phố Hồ Chí Minh,2022-11-27,20,Đã xác thực,,Nguyễn Bạch Tuyết
HK0117,NK0268,Số nhà 17 Đường Nguyễn Huệ Phường Tân Định Thành phố Hồ Chí Minh,2022-07-01,47,Đã xác thực,lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis,Phan Ngọc Huệ
HK0118,NK0184,Số nhà 18 Đường Đề Thám Phường Tân Bình Thành phố Hồ Chí Minh,2023-02-11,13,Đã xác thực,,Đỗ Tâm Nhi
HK0119,NK0423,Số nhà 19 Đường Hoàng Văn Thụ Phường Phú Nhuận Thành phố Hồ Chí Minh,2022-12-03,41,Đã xác thực,,Hoàng Bảo Châu
HK0120,NK0073,Số nhà 20 Đường Nguyễn Trãi Phường Tân Phú Thành phố Hồ Chí Minh,2022-09-18,39,Đã xác thực,,Hoàng Ngân Anh
HK0121,NK0098,Số nhà 21 Đường Lê Văn Sỹ Phường Quận 3 Thành phố Hồ Chí Minh,2022-09-16,45,Chưa xác thực,aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac,Lý Thanh Minh
HK0122,NK0454,Số nhà 22 Đường Trần Phú Phường Bình Thạnh Thành phố Hồ Chí Minh,2022-09-21,16,Đã xác thực,,Lý Đan Thanh
HK0123,NK0058,Số nhà 23 Đường Nguyễn Văn Cừ Phường Quận 5 Thành phố Hồ Chí Minh,2022-12-23,40,Đã xác thực,luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est,Hoàng Mạnh Dũng
HK0124,NK0074,Số nhà 24 Đường Lê Hồng Phong Phường Tân Bình Thành phố Hồ Chí Minh,2022-06-19,23,Đã xác thực,nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy,Nguyễn Minh Nhật
HK0125,NK0343,Số nhà 25 Đường Trần Đại Nghĩa Phường Tân Định Thành phố Hồ Chí Minh,2022-09-04,13,Đã xác thực,vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in,Đặng Thúy
HK0126,NK0332,Số nhà 26 Đường Đặng Văn Ngữ Phường Phú Nhuận Thành phố Hồ Chí Minh,2023-02-10,20,Đã xác thực,,Ngô Ðại Thống
HK0127,NK0452,Số nhà 27 Đường Nguyễn Đình Chiểu Phường Bình Thạnh Thành phố Hồ Chí Minh,2022-11-24,5,Chưa xác thực,,Trần Quang Tài
HK0128,NK0419,Số nhà 28 Đường Trần Nhật Duật Phường Quận 4 Thành phố Hồ Chí Minh,2022-07-06,35,Đã xác thực,placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in,Lý Công Hậu
HK0129,NK0426,Số nhà 29 Đường Lê Quang Đạo Phường Tân Phú Thành phố Hồ Chí Minh,2022-03-01,9,Đã xác thực,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis,Phan Tâm Ðoan
HK0130,NK0105,Số nhà 30 Đường Nguyễn Huệ Phường Tân Định Thành phố Hồ Chí Minh,2022-07-23,15,Đã xác thực,,Lê Hoàng Khôi
HK0131,NK0349,Số nhà 31 Đường Trần Phú Phường Quận 3 Thành phố Hồ Chí Minh,2022-12-20,21,Chưa xác thực,odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est,Lê Nhã Lý
