so_can_cuoc,dac_diem_nhan_dang,ho_ten,ten_khac,ngay_sinh,gioi_tinh,que_quan,thuong_tru,tam_tru,quoc_tich,dan_toc,so_ho_chieu,trang_thai,ngay_xac_thuc,id_nguoi_xac_thuc,ghi_chu,quan_he_chu_ho
NK0033,,Phan Anh Quân,,2014-12-14,Nam,Thành phố Hồ Chí Minh,Số nhà 64 Đường Nguyễn Thị Minh Khai Phường Quận 7 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0033,Chưa xác thực,2022-07-13,"",,
NK0034,,Lý Công Hậu,Jourdain,1980-10-26,Nữ,Thành phố Hồ Chí Minh,Số nhà 85 Đường Lê Văn Lương Phường Quận 4 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0034,Đã xác thực,2022-05-30,125,,
NK0035,,Ngô Thịnh Cường,Dalenna,1972-03-23,Nam,Hậu Giang,Số nhà 62 Đường Lê Văn Lương Phường Phú Nhuận Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0035,Đã xác thực,2022-05-17,394,,
NK0036,hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt,Nguyễn Nguyên Ðan,Marcel,1966-12-09,Nam,Bình Dương,Số nhà 77 Đường Nguyễn Thị Minh Khai Phường Phú Nhuận Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0036,Đã xác thực,2022-05-19,343,a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut,
NK0037,,Lê Yến Trinh,Davine,1961-02-24,Nam,Thành phố Hồ Chí Minh,Số nhà 13 Đường Phan Văn Trị Phường Tân Phú Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0037,Đã xác thực,2022-07-24,205,,
NK0038,amet sem fusce consequat nulla,Lê Bảo Chấn,,1979-04-12,Nữ,Bình Thuận,Số nhà 8 Đường Đề Thám Phường Đa Kao Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0038,Chưa xác thực,2022-11-05,"",sed nisl nunc rhoncus dui vel sem sed sagittis nam congue,
NK0039,,Ngô Nhật Tấn,,2009-01-22,Khác,Đồng Nai,Số nhà 7 Đường Nguyễn Đình Chiểu Phường Quận 2 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0039,Chưa xác thực,2022-10-10,"",,
NK0040,tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna,Hoàng Trung Thành,,1998-09-14,Nữ,Hà Nội,Số nhà 38 Đường Lê Quang Đạo Phường Tân Phú Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0040,Chưa xác thực,2022-09-08,"",eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum,
NK0041,,Ngô Lan Anh,Farlee,1961-09-22,Nữ,Thành phố Hồ Chí Minh,Số nhà 64 Đường Nguyễn Thị Minh Khai Phường Quận 7 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0041,Đã xác thực,2022-04-01,99,,
NK0042,ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum,Ngô Xuân Ninh,,1982-11-29,Nam,Thành phố Hồ Chí Minh,Số nhà 8 Đường Huỳnh Tấn Phát Phường Tân Phú Thành phố Hồ Chí Minh,,Việt Nam,Thái,HC0042,Đã xác thực,2022-10-25,97,ac tellus semper interdum mauris,
NK0043,,Phan Thụy Nương,Serena,2022-02-27,Nam,Hà Nội,Số nhà 39 Đường Đặng Văn Ngữ Phường Tân Bình Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0043,Chưa xác thực,2022-10-25,"",,
NK0044,odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam,Trần Xuân Lộc,Philipa,1965-06-20,Nữ,Thanh Hóa,Số nhà 74 Đường Trần Bình Trọng Phường Quận 4 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0044,Đã xác thực,2022-05-19,490,habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla,
NK0045,,Võ Ðạt Hòa,,1961-09-21,Nữ,Hà Nội,Số nhà 77 Đường Nguyễn Thị Minh Khai Phường Phú Nhuận Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0045,Chưa xác thực,2022-08-06,"",,
NK0046,morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem,Lê Chí Hiếu,,2016-09-25,Nam,Hà Nội,Số nhà 34 Đường Phạm Hồng Thái Phường Bình Thạnh Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0046,Đã xác thực,2022-10-21,385,montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus,
NK0047,,Lý Triệu Thái,,1960-06-14,Nam,Hải Phòng,Số nhà 18 Đường Trần Quốc Tuấn Phường Bình Thạnh Thành phố Hồ Chí Minh,,Việt Nam,Khơ-me,HC0047,Chưa xác thực,2022-03-26,"",,
NK0048,ut suscipit a feugiat et eros vestibulum,Nguyễn Kỳ Diệu,Kendricks,1975-06-10,Nữ,Lạng Sơn,Số nhà 5 Đường Lý Thường Kiệt Phường Bình Thạnh Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0048,Đã xác thực,2022-10-07,218,orci luctus et ultrices posuere cubilia curae nulla,
NK0049,,Lê Vân Tiên,,2020-12-13,Nữ,Hà Nội,Số nhà 7 Đường Võ Văn Tần Phường Quận 3 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0049,Đã xác thực,2022-03-28,266,,
NK0050,vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque,Lê Bảo Chấn,,1984-02-05,Nam,Thành phố Hồ Chí Minh,Số nhà 21 Đường Lê Văn Sỹ Phường Quận 3 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0050,Chưa xác thực,2022-10-31,"",quam pharetra magna ac consequat metus sapien ut nunc,
NK0051,est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum,Nguyễn Vi Quyên,Rockie,1990-12-30,Nam,Hà Nội,Số nhà 22 Đường Nguyễn Văn Cừ Phường Bình Thạnh Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0051,Chưa xác thực,2022-07-03,"",lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien,
NK0052,,Hoàng Quốc Tiến,,1999-08-22,Nam,Bắc Ninh,Số nhà 19 Đường Hoàng Văn Thụ Phường Phú Nhuận Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0052,Đã xác thực,2022-11-20,38,,
NK0053,,Phan Đông Nghi,Rea,2006-03-07,Nữ,Bắc Kạn,Số nhà 42 Đường Lê Hồng Phong Phường Tân Bình Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0053,Chưa xác thực,2022-12-30,"",,
NK0054,vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet,Hoàng Nguyên Khang,,2002-11-02,Nữ,Thái Bình,Số nhà 7 Đường Võ Văn Tần Phường Quận 3 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0054,Chưa xác thực,2022-06-13,"",lectus aliquam sit amet diam,
NK0055,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis,Lý Quốc Hiển,Marris,1991-05-31,Nữ,Hà Nội,Số nhà 63 Đường Trần Quốc Toản Phường Tân Phú Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0055,Chưa xác thực,2022-03-05,"",in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam,
NK0056,vitae quam suspendisse potenti nullam,Lý Xuân Trang,Roi,1981-01-17,Nữ,Tiền Giang,Số nhà 25 Đường Trần Quốc Toản Phường Quận 4 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0056,Đã xác thực,2022-02-19,260,pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus,
NK0057,,Lý Chiêu Minh,Matt,1997-11-12,Nam,Quảng Ngãi,Số nhà 26 Đường Đồng Văn Cừ Phường Tân Phú Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0057,Chưa xác thực,2023-01-23,"",,
NK0058,,Hoàng Mạnh Dũng,Hilde,1990-03-07,Nam,Long An,Số nhà 16 Đường Trần Hưng Đạo Phường Tân Phú Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0058,Đã xác thực,2022-05-25,285,,
NK0059,id massa id nisl venenatis lacinia aenean sit amet,Trần Xuân Lộc,Estel,1982-01-13,Nữ,Hà Nội,Số nhà 38 Đường Lê Quang Đạo Phường Tân Phú Thành phố Hồ Chí Minh,,Việt Nam,Mường,HC0059,Chưa xác thực,2022-07-03,"",tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis,
NK0060,,Hoàng Bảo Châu,,1976-08-13,Nữ,Hà Nội,Số nhà 38 Đường Trần Quốc Toản Phường Tân Phú Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0060,Đã xác thực,2022-06-26,43,,
NK0061,,Hoàng Tuấn Long,Mill,1983-03-19,Khác,Nghệ An,Số nhà 92 Đường Trần Bình Trọng Phường Quận 7 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0061,Chưa xác thực,2022-11-10,"",,
NK0062,,Đặng Phương Thảo,Briny,1964-02-05,Nam,Thành phố Hồ Chí Minh,Số nhà 87 Đường Nguyễn Văn Cừ Phường Bình Thạnh Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0062,Chưa xác thực,2022-07-14,"",,
NK0063,,Võ Tất Hiếu,,1971-05-02,Khác,Hà Nội,Số nhà 27 Đường Lê Đại Hành Phường Tân Bình Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0063,Chưa xác thực,2022-12-01,"",,
NK0064,nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor,Phan Hạnh Dung,,1988-06-19,Nữ,Quảng Bình,Số nhà 24 Đường Lê Hồng Phong Phường Tân Bình Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0064,Đã xác thực,2022-11-23,347,tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum,
NK0065,,Phan Đông Nghi,Consolata,1975-09-12,Nam,Khánh Hòa,Số nhà 6 Đường Trần Hưng Đạo Phường Quận 5 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0065,Chưa xác thực,2022-08-08,"",,
NK0066,,Trần Trường Kỳ,Ethelda,1987-08-22,Nữ,Quảng Ngãi,Số nhà 81 Đường Nguyễn Văn Cừ Phường Quận 7 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0066,Chưa xác thực,2022-07-11,"",,
NK0067,,Đỗ Gia Hân,Sande,1974-04-02,Nam,Tuyên Quang,Số nhà 43 Đường Trần Đại Nghĩa Phường Tân Định Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0067,Đã xác thực,2022-05-03,54,,
NK0068,nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros,Trần Trường Kỳ,Damian,2000-06-11,Nam,Hà Nội,Số nhà 10 Đường Nguyễn Văn Trỗi Phường Tân Bình Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0068,Chưa xác thực,2022-03-02,"",sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla,
NK0069,,Nguyễn Trung Hải,,1997-04-06,Nữ,Thái Nguyên,Số nhà 47 Đường Nguyễn Văn Linh Phường Quận 7 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0069,Đã xác thực,2022-06-19,388,,
NK0070,,Lý Hồng Giang,Daisey,1980-05-20,Nữ,Bến Tre,Số nhà 28 Đường Trần Nhật Duật Phường Quận 4 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0070,Đã xác thực,2022-08-24,197,,
NK0071,duis bibendum felis sed interdum,Lý Hoài Thương,Leah,2011-06-21,Nữ,Thành phố Hồ Chí Minh,Số nhà 5 Đường Trần Hưng Đạo Phường Quận 5 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0071,Chưa xác thực,2022-02-13,"",maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus,
NK0072,,Phan Thiên Lan,Iggy,1995-04-16,Nữ,Nghệ An,Số nhà 26 Đường Đặng Văn Ngữ Phường Phú Nhuận Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0072,Đã xác thực,2022-09-16,337,,
NK0073,et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin,Hoàng Ngân Anh,,1961-01-24,Nữ,Đắk Nông,Số nhà 81 Đường Nguyễn Văn Cừ Phường Quận 7 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0073,Đã xác thực,2022-10-05,390,mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis,
NK0074,,Nguyễn Minh Nhật,,1981-05-16,Nam,Hà Nội,Số nhà 49 Đường Lê Văn Lương Phường Bình Thạnh Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0074,Chưa xác thực,2022-05-29,"",,
NK0075,justo sollicitudin ut suscipit a feugiat et eros vestibulum ac,Đỗ Ngọc Liên,Sumner,2000-08-18,Nữ,Nghệ An,Số nhà 13 Đường Phan Văn Trị Phường Tân Phú Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0075,Đã xác thực,2022-10-03,123,hac habitasse platea dictumst etiam faucibus cursus,
NK0076,,Lê Hữu Hoàng,Catie,1963-11-12,Nam,Hà Nội,Số nhà 49 Đường Lê Văn Lương Phường Bình Thạnh Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0076,Chưa xác thực,2022-05-11,"",,
NK0077,,Lê Trí Dũng,,2005-02-25,Nữ,Thành phố Hồ Chí Minh,Số nhà 72 Đường Trần Đại Nghĩa Phường Tân Phú Thành phố Hồ Chí Minh,,Việt Nam,Mường,HC0077,Chưa xác thực,2023-02-08,"",,
NK0078,ultrices libero non mattis pulvinar nulla pede,Nguyễn Nhã Thanh,,1982-12-22,Nữ,Hà Nội,Số nhà 18 Đường Trần Quốc Tuấn Phường Bình Thạnh Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0078,Chưa xác thực,2022-02-23,"",arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque,
NK0079,metus vitae ipsum aliquam non mauris morbi,Ngô Ngọc Nữ,,2015-07-03,Nam,Cao Bằng,Số nhà 39 Đường Đặng Văn Ngữ Phường Tân Bình Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0079,Chưa xác thực,2022-03-28,"",vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget,
NK0080,pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis,Ngô Phước Đông,,1960-06-24,Nữ,Hà Nội,Số nhà 38 Đường Lê Quang Đạo Phường Tân Phú Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0080,Chưa xác thực,2022-07-30,"",magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien,
NK0081,quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque,Nguyễn Thanh Long,Anton,1998-09-17,Nữ,Tây Ninh,Số nhà 53 Đường Trần Quốc Toản Phường Quận 4 Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0081,Đã xác thực,2022-03-16,175,est donec odio justo sollicitudin ut suscipit,
NK0082,diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus,Phan Vân Du,,1961-09-15,Nữ,Lai Châu,Số nhà 23 Đường Võ Văn Tần Phường Tân Bình Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0082,Đã xác thực,2022-06-02,307,integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit,
NK0083,,Hoàng Mỹ Nhân,,2008-06-12,Nữ,Điện Biên,Số nhà 23 Đường Võ Văn Tần Phường Tân Bình Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0083,Chưa xác thực,2022-09-29,"",,
NK0084,felis sed interdum venenatis turpis,Lê Duy Ngôn,Kimberlee,2011-03-16,Nữ,Nghệ An,Số nhà 11 Đường Hoàng Văn Thụ Phường Tân Định Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0084,Chưa xác thực,2022-08-22,"",primis in faucibus orci luctus,
NK0085,,Ngô Phúc Khang,Sherry,1976-06-22,Nam,Hà Nội,Số nhà 18 Đường Đề Thám Phường Tân Bình Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0085,Đã xác thực,2023-02-09,482,,
NK0086,,Phan Vân Du,,1965-02-07,Nam,Hà Nội,Số nhà 39 Đường Đặng Văn Ngữ Phường Tân Bình Thành phố Hồ Chí Minh,,Việt Nam,Kinh,HC0086,Đã xác thực,2022-03-03,143,,
